Question,Answer,Feedback,Final Score
"These days, many people have their own computer and telephone, so it is quite easy for them to do their job at home.Does working at home have more advantages or more disadvantages?","In the present age it is common for people to work from home because of advances in technology. On balance, I would argue that this has more negative impacts than positive. 

One advantage of working from home is the freedom it provides. Home workers can organise their work around their home life as they can stop or start work as they please, and thus if, for example, they have children, they can easily arrange to take them and pick them up from school. They can also undertake any other tasks that they need to do during the day, such as doing the laundry or shopping, and then finish work later. Overall then, employees have more control over their lives.

Despite these positive factors, however, there are a number of  disadvantages. The first of these is the fact that those who work at home nearly all the time will not be mixing with colleagues. When people are at work, they are always surrounded by others, but at home, an employee is likely to be alone most the time. This may lead to feelings of loneliness due to a lack of interaction. 

Another drawback is the fact that one may have less influence in the company. It is often the case that important decisions arise on the spur of the moment as unexpected issues arise. If an employee is not there, others may have to step in. If this occurs on a regular basis, the employees contribution to the company may decline, meaning a higher probability of getting overlooked for things such as promotion. 

In conclusion, although there are positives and negatives related to working from home, there are more negative impacts. Employees should therefore consider carefully whether working from home is the best choice. 

","This working from home essay would get a high score as it meets the requirements of the task, which is to discuss the pros and cons of working from home and state which there are more of.

It is also coherent and cohesive, with paragraphing used to good effect and good linking within and between sentences. 

There is a good range of lexis (vocabulary) in the essay and it is used accurately with good collocations. 

There is also a good mix of complex sentences and structures and again the grammatical accuracy is very good.

",7.5
Today much of the food people eat gets transported from farms that are thousands of miles away. Some people believe it would be better for the environment and the economy if people only consumed food produced by local farmers.Would the advantages of this outweigh the disadvantages?,"These days food often travels many miles as farmers export their food around the world to satisfy consumer demand. Although some people think stopping this practice would benefit the economy and the environment, I believe that the negative impacts would not justify such a change.

The benefits of stopping the export of food are twofold. In relation to the environment, transporting food involves the use of thousands of lorries and many flights, which contributes to pollution given all the emissions this must produce everyday. This negatively affects people's health and also may be leading to global warming. In addition to this, stopping the practice will mean that people then only buy local food, leading to a boost to local economies as farmers will become profitable as they sell more.

However, there are downsides to this. A problem is that these days many countries, particularly developing countries, rely on exports of their produce. Countries often have acres and acres of plantations and crops that are only sold to foreign markets, and this provides an income to the farmers but it also provides work for thousands of local people around the world working on farms. Furthermore, people these days have become dependent on ingredients from other countries and without it people could no longer cook or eat many of their favourite recipes and many restaurants that depend on food exports may go out of business.

On balance, I therefore believe that the advantages do not outweigh the disadvantages. Despite the fact that it may improve the environment, the negative economic impacts on farmers who export and their employees and the further impacts on food choices and restaurants would be too detrimental.

","This essay would get a high score for the following reasons. 

Firstly it has fully answered the question and the ideas presented in support of the question have been fully extended and explained. 

The first body paragraph presents the benefits of eating only locally grown produce or food, focusing on this in relation to the environment and the economy.

The second body paragraph then focuses on the possible negative impacts of this. It's ok to mention some other issues (e.g. the lack of choice for consumers) but the essay makes sure that again some environmental and economic issues are presented. 

The essay also has good coherence and cohesion. It is logically organised, easy to follow, and paragraphing has been used well.

Lexical resource (vocabulary) is also sufficient and accurate, with some good words and phrases, some of them topic related: 

There is a also a good range of grammatical structures with high levels of accuracy. 

",9.0
Today much of the food people eat gets transported from farms that are thousands of miles away. Some people believe it would be better for the environment and the economy if people only consumed food produced by local farmers.Would the advantages of this outweigh the disadvantages?,"These days food often travels many miles as farmers export their food around the world to satisfy consumer demand. Although some people think stopping this practice would benefit the economy and the environment, I believe that the negative impacts would not justify such a change.

The benefits of stopping the export of food are twofold. In relation to the environment, transporting food involves the use of thousands of lorries and many flights, which contributes to pollution given all the emissions this must produce everyday. This negatively affects people's health and also may be leading to global warming. In addition to this, stopping the practice will mean that people then only buy local food, leading to a boost to local economies as farmers will become profitable as they sell more.

However, there are downsides to this. A problem is that these days many countries, particularly developing countries, rely on exports of their produce. Countries often have acres and acres of plantations and crops that are only sold to foreign markets, and this provides an income to the farmers but it also provides work for thousands of local people around the world working on farms. Furthermore, people these days have become dependent on ingredients from other countries and without it people could no longer cook or eat many of their favourite recipes and many restaurants that depend on food exports may go out of business.

On balance, I therefore believe that the advantages do not outweigh the disadvantages. Despite the fact that it may improve the environment, the negative economic impacts on farmers who export and their employees and the further impacts on food choices and restaurants would be too detrimental.

","This essay would get a high score for the following reasons. 

Firstly it has fully answered the question and the ideas presented in support of the question have been fully extended and explained. 

The first body paragraph presents the benefits of eating only locally grown produce or food, focusing on this in relation to the environment and the economy.

The second body paragraph then focuses on the possible negative impacts of this. It's ok to mention some other issues (e.g. the lack of choice for consumers) but the essay makes sure that again some environmental and economic issues are presented. 

The essay also has good coherence and cohesion. It is logically organised, easy to follow, and paragraphing has been used well.

Lexical resource (vocabulary) is also sufficient and accurate, with some good words and phrases, some of them topic related: 

There is a also a good range of grammatical structures with high levels of accuracy. 

",8.5
Demand for gas and oil is increasing and so finding new sources in remote and untouched areas is a necessity.Do the advantages of this outweigh the disadvantages?,"As countries around the world continue to modernise and develop, there is more consumerism, industry, and transport and a corresponding need for more gas and oil. One option to meet this demand is to find it in otherwise untouched and remote places, such as the North Pole. However, I believe that doing this is not the right solution.

There are benefits to such a strategy. This is firstly the fact that people wish to improve their living standards, particularly in developing countries, and fuels such as oil and gas allow this as they enable the heating of homes, the running of cars and planes, and the production of goods. All of these result in higher living standards, and thus we need to keep finding new sources since we will eventually run out. 

However, despite this, there are major problems with exploiting untouched and remote locations. One issue is that we will end up potentially jeopardising what are beautiful landscapes. For instance, an area which countries would like to drill is the Antarctic, home to many glaciers and animals such as polar bears and penguins. Drilling here would harm the habitat, and in particular, any spillages would be disastrous to the environment.

Not only this, due to health issues and global warming we should no longer be seeking to use such forms of energy. It is evident that the use of these fuels on a wide-scale has led to the pollution of many cities and the subsequent poor health of its citizens where car use is so high. Also, carbon dioxide is getting released into the atmosphere, and this may be endangering our very existence. Therefore, we should be aiming to utilise more eco-friendly options such as wind and sun for power and electricity for cars.

To conclude, although there is an advantage of finding new places to get oil and gas, which is that we can sustain and improve our living standards, the negative impacts outweigh this as we will damage those environments, as well as continue to harm our health and the planet. 

","This oil and gas essay would get a good score as it clearly answers the question by discussing the pros and cons of seeking alternative sources.

Ideas are provided and supported. And an opinion is clearly stated and this opinion is reflected in the essays ideas and structure. 

It is well-organised with a clear introduction - introducing the topic followed by a thesis statement. Each body paragraph has a central idea and the opinion is again summed up in the conclusion. 

There is a good mix of topic related vocabulary and examples of complex sentences and structures. 

The essay is 345 words. If you are a lower level candidate you may need to decrease the amount of words to around 275 to make sure you can write and check your essay in 40 minutes. 

",8.5
"Young people are often influenced in their behaviours by others in the same age group. Some argue that peer pressure is important while others feel it has distinct disadvantages.

Do the disadvantages of peer pressure outweigh the advantages?","Peer pressure is a pervasive phenomenon that significantly influences the behaviours of young individuals. While some argue that it plays a crucial role in positively shaping the lives of the youth, others contend that the disadvantages of peer pressure are very detrimental. 

Peer pressure, when harnessed positively, can have several advantages. Firstly, it can foster a sense of belonging and camaraderie among individuals within the same age group. Young people often seek acceptance and affirmation from their peers, and this can contribute to their emotional well-being and self-esteem. A further benefit is that positive peer pressure can encourage healthy behaviours, such as exercising or avoiding risky activities. For instance, a teenager might be motivated to quit smoking if their friends promote a smoke-free lifestyle.

However, peer pressure can also have distinct disadvantages. The most pressing concern is the potential for negative influences on impressionable minds. Young people may succumb to the pressure of engaging in harmful behaviours, such as substance abuse, criminal activities, or reckless behaviours like driving without a seatbelt, due to peer pressure, which can lead to long-lasting negative consequences and jeopardise their future.

Moreover, excessive pressure from peers can stifle individuality and creativity as young people may conform to the norms of their peer group instead of pursuing their own aspirations and dreams. This conformity may limit their personal growth and hinder their ability to think independently.

In conclusion, I would argue that peer pressure has more disadvantages as although it can foster a sense of belonging and promote healthy behaviours, it also carries the risk of leading young people astray and stifling their individuality. It is imperative for parents, educators, and society at large to guide young people in making informed choices and navigating the complexities of peer influence.

","This peer pressure and young people essay would score highly for IELTS.

Regarding task response, it fully answers the question, discussing both the pros and cons of peer pressure and setting out a clear opinion on the topic - in this case that the disadvantages outweigh the advantages. Ideas are clearly stated and extended.

Coherence and cohesion is very good, with ideas sequenced logically and clearly and paragraphing used sufficiently and appropriately.

There is a wide range of lexis (vocabulary) used fluently and flexibly. For instance, in the first two paragraphs:

As for grammatical range and accuracy, there is a wide range of structures, with a high level of accuracy. An example of several complex structures used can be seen.",9.0
Some of the methods used in advertising are unethical and unacceptable in today's society.  To what extent do you agree with this view?,"The world that we live in today is dominated by advertising. Adverts are on television, on the World Wide Web, in the street and even on our mobile phones. However, many of the strategies used to sell a product or service can be considered immoral or unacceptable.

To begin with, the fact that we cannot escape from advertising is a significant cause for complaint. Constant images and signs wherever we look can be very intrusive and irritating at times. Take for example advertising on the mobile phone. With the latest technology mobile companies are now able to send advertising messages via SMS to consumers' phones whenever they choose. Although we expect adverts in numerous situations, it now seems that there are very few places we can actually avoid them.

A further aspect of advertising that I would consider unethical is the way that it encourages people to buy products they may not need or cannot afford. Children and young people in particular are influenced by adverts showing the latest toys, clothing or music and this can put enormous pressure on the parents to buy these products.

In addition, the advertising of tobacco products and alcohol has long been a controversial issue, but cigarette adverts have only recently been banned in many countries. It is quite possible that alcohol adverts encourage excessive consumption and underage drinking, yet restrictions have not been placed on this type of advertising in the same way as smoking. 

It is certainly true to say that advertising is an everyday feature of our lives. Therefore, people are constantly being encouraged to buy products or services that might be too expensive, unnecessary or even unhealthy. In conclusion, many aspects of advertising do appear to be morally wrong and are not acceptable in today's society.

","This essay for IELTS is well organized as there are five clear paragraphs, each containing ideas that are relevant, well expressed, and related to the topic. 

Focusing on the language and structures in particular, the essay starts with an appropriate introductory sentence. Linking words are used accurately (However, In addition, Therefore).

Phrases that signal opinions are evident (A further aspect of advertising that I would consider unethical. ..) backed up by reasons (...encourages people to buy products they may not need or cannot afford) and examples (Children and young people in particular, are influenced by adverts).

In general, many other useful phrases are used, indicating a good control of language (It is quite possible... Many people consider. .. It is certainly true to say.. .).



",8.5
"Currently there is a trend towards the use of   alternative forms of medicine. However,   at best these methods are   ineffective, and at worst they may be dangerous.To what extent do you agree with this statement?","Alternative medicine is not new. It is accepted that it pre-dates conventional medicine and it is still used by many people all over the world. I am unconvinced that it is dangerous, and feel that both alternative and conventional medicine can be useful.

There are several reasons why the conventional medical community is often dismissive of alternatives.  Firstly, there has been little scientific research into such medicine, so there is a scarcity of evidence to support the claims of their supporters. Furthermore, people often try such treatment because of recommendations from friends, and therefore come to the therapist with a very positive attitude, which may be part of the reason for the cure. Moreover, these therapies are usually only useful for long-term, chronic conditions. Acute medical problems, such as accidental injury, often require more conventional methods.

On the other hand, there remain strong arguments for the use of alternatives.  Despite the lack of scientific proof, there is a lot of anecdotal evidence to suggest that these therapies work. In addition, far from being dangerous, they often have few or no side effects, so the worst outcome would be no change. One of the strongest arguments for the effectiveness of alternative therapies in the West is that, whilst conventional medicine is available without charge, many people are prepared to pay considerable sums for alternatives. If they were totally unhelpful, it would be surprising if this continued.

I strongly believe that conventional medicine and alternative therapies can and should coexist. They have different strengths, and can both be used effectively to target particular medical problems. The best situation would be for alternative therapies to be used to support and complement conventional medicine.

","The writer in this IELTS sample essay introduces the topic in the introductory paragraph (Alternative medicine...) and puts forward a clear view on the issue (I am unconvinced...and feel...). 

The essay has a well-balanced argument looking at both sides of the issue. The first body paragraph expresses some doubt about alternative therapies (...little scientific research.. .only useful for long term...), but in the second body paragraph the writer takes a different view (On the other hand...) and examines the benefits (...few side effects). 

The writer's concluding paragraph offers a strong opinion (I strongly believe...) and sums up the fact that both types of treatment are valid today. 

There is also a good range of grammatical structures (If they were totally unhelpful, it would be...), and connectors (despite the fact, in addition, finally).

",8.0
"Government   investment in the arts, such as music and theatre, is a waste of money.    Governments must invest this money in public services instead.To what extent do you agree with this statement??","These days, the government spends a large part of its budget not only on public services, but also the arts. Although I agree that it is important to spend money on public services, I do not think spending additionally on the arts is a waste of money.

There are several reasons for spending a significant amount of the government budget on public services. First and foremost, public services are the things such as hospitals, roads and schools, and these things determine the quality of life that most of us will have. For example, if the government does not spend enough money on hospitals, the health of our society may decline. Similarly, if not enough money is spent on schools, our children may not be properly educated. Also, it will be the poor in our society that will be affected more if we do not spend enough on these things because they are the ones more dependent on such services.

However, this does not mean that the arts should be completely neglected. To begin, it is difficult for many arts institutions to generate much profit, so without some help from the government, many theatres and other such places may have to close. Moreover, the arts also have an important impact on our quality of life. Many people get great pleasure in going to see music and theatre performances so it is important that the government assists such institutions so that they can continue to provide entertainment to the public.

To sum up, there are clear benefits of ensuring a large amount of investment goes into public services as this influences the quality of life for nearly all of us. That said, I do not believe spending money on the arts is a waste of money as this too provides important benefits. 

","The essay gives a clear thesis at the beginning. This makes it clear that the writer partly agrees with the statement i.e. it is not a waste of money, but it is if too much is spent on it.

It is also a well-organized essay. The first paragraph sets out why the writer thinks a significant portion of money should go on public services. This is supported with reasons and examples.

The second paragraph in this sample IELTS writing then sets out clearly why some money should also go on the arts.

The conclusion then restates the authors opinion.

",8.5
"As   people live longer and longer, the idea of cloning human beings in   order to provide spare parts is becoming a reality. The idea horrifies   most people, yet it is no longer mere science fiction. To what extent do you agree with such a procedure? Have you any reservations?","The cloning of animals has been occurring for a number of years now, and this has now opened up the possibility of cloning humans too. Although there are clear benefits to humankind of cloning to provide spare body parts, I believe it raises a number of worrying ethical issues.

Due to breakthroughs in medical science and improved diets, people are living much longer than in the past. This, though, has brought with it problems. As people age, their organs can fail so they need replacing. If humans were cloned, their organs could then be used to replace those of sick people. It is currently the case that there are often not enough organ donors around to fulfil this need, so cloning humans would overcome the issue as there would then be a ready supply.

However, for good reasons, many people view this as a worrying development. Firstly, there are religious arguments against it. It would involve creating other human beings and then eventually killing them in order to use their organs, which it could be argued is murder. This is obviously a sin according to religious texts. Also, dilemmas would arise over what rights these people have, as surely they would be humans just like the rest of us. Furthermore, if we have the ability to clone humans, it has to be questioned where this cloning will end. Is it then acceptable for people to start cloning relatives or family members who have died?

To conclude, I do not agree with this procedure due to the ethical issues and dilemmas it would create. Cloning animals has been a positive development, but this is where it should end.

","The essay is well-organized, with a clear introducion which introduces the topic:

And it has a thesis statement that makes it clear exactly how the human cloning essay will be structured and what the candidate's opinion is:

The first body paragraph discusses the advantages of cloning humans, and then the second body paragraph looks at the problems associated with this. The change of direction to look at the other side is clearly marked with a transition word (""however"") and a topic sentence:

Other transition words are used effectively to guide the reader through the ideas in the human cloning essay:Firstly,.. Also,... Furthermore,...

The candidate demonstrates that they can use a mix of complex structures.

",9.0
Governments should be responsible for funding and controlling scientific research rather than private organizations.To what extent do you agree or disagree?,"Undertaking scientific research is imperative if countries want to progress and compete in a globalized world. However, the funding and controlling of this research remain contentious issues. In my opinion, the government should have the predominant responsibility for these.

One of the first issues is the knowledge that we gain from research. If governments are responsible then they are driven by the need to make advances in knowledge in order to improve people's lives. This is because they are accountable to the public and the research is paid for by taxes. On the other hand, private organizations are driven by profit. This may mean that some research that could be valuable to society may not begin because there is no monetary gain.

Another issue related to this is the research process. When the funding for research comes from the same organization that is going to gain from a favorable outcome, there is a strong potential for biased results. Taking drugs companies as an example, legislation usually requires rigorous trials for new drugs that can take many years to complete. The companies have large amounts of money invested in such research and the need for positive results is paramount. It is difficult for a scientist to remain impartial in these circumstances. However, if this is controlled and funded by governments, their accountability means that such conflicts of interest are less likely to occur.

On balance, I would argue that although it is not realistic to remove all opportunities for privately funded research, governments should have the main responsibility for the monitoring and controlling of this. Strong checks and balances need to be in place to ensure future research is ethical and productive.

","The essay is well organized. 

The opinion is clearly presented in the introduction and this opinion is then supported in the body paragraphs and summarized again in the conclusion.

There are topic sentences which state clearly what each paragraph is about:

The body paragraphs then go on to develop each idea giving reasons and examples. 

In the first body paragraph a comparison is made between the government and private sector in terms of knowledge. In the second a comparison is made in terms of the research process. 

There is no repetition of ideas.

There is some good use of high level vocabulary, phrases and collocations such as:

There is also a good mix of complex sentences with examples of adverbial clauses, relative clauses and noun clauses.

",8.0
"Smoking not only harms the smoker, but also those who are nearby. Therefore, smoking should be banned in public places. To what extent do you agree or disagree?","Medical studies have shown that smoking not only leads to health problems for the smoker, but also for people close by. As a result of this, many believe that smoking should not be allowed in public places. Although there are arguments on both sides, I strongly agree that a ban is the most appropriate course of action.

Opponents of such a ban argue against it for several reasons. Firstly, they say that passive smokers make the choice to breathe in other people's smoke by going to places where it is allowed. If they would prefer not to smoke passively, then they do not need to visit places where smoking is permitted. In addition, they believe a ban would possibly drive many bars and pubs out of business as smokers would not go there anymore. They also argue it is a matter of freedom of choice. Smoking is not against the law, so individuals should have the freedom to smoke where they wish.

However, there are more convincing arguments in favour of a ban. First and foremost, it has been proven that tobacco consists of carcinogenic compounds which cause serious harm to a person's health, not only the smoker. Anyone around them can develop cancers of the lungs, mouth and throat, and other sites in the body. It is simply not fair to impose this upon another person. It is also the case that people's health is more important than businesses. In any case, pubs and restaurants could adapt to a ban by, for example, allowing smoking areas. 

In conclusion, it is clear that it should be made illegal to smoke in public places. This would improve the health of thousands of people, and that is most definitely a positive development.

","This essay is well organized and presented.

The introduction is clear - note how it follows the ban smoking in public places essay question - it paraphrases the information in order to introduce the topic and the argument.

The argument against a ban on smoking in public places is presented first. It is made clear that it is not the authors opinion by the topic sentence:

And also by the use of the word 'they' to refer to the opponents.

The writer then clearly shows they are moving on to the other argument which is their own (and it has clearly been stated in the thesis that this is their argument):

In this paragraph, 'they' is dropped because it is now the writers opinion.

",8.5
It has been claimed  that workers over 50 are not responsive to rapidly changing ideas in the modern  workplace and that for this reason younger workers are to be preferred.To what extent  do you agree or disagree?,"Some people believe that due to the rapid changes occurring in modern work places, it is better to employ younger than older people. I do not believe that this is the case.

One argument in support of younger employees is that older employees could be more set in their ways and potentially against any change. To an extent this may be true, but there are many flexible and intelligent workers over 50, while there are inflexible and narrow-minded younger ones. Attitude towards change is a result not of age but of personality type.

That said, physical changes occurring with age could mean certain jobs are more suited to a younger person. For instance, psychologists seem to be in agreement that memory declines with age for people not remaining mentally active. In high-tech industries such as computer programming, where it is so important to be able to work with so much information, numbers and calculations, being younger may be an advantage.

However, older workers have a wide range of other positive attributes that they can bring to their working environment. Generally, they have more work experience than those who are younger. In addition, as can be seen with the trend of many department stores in the UK to take on older people, they are seen to be more reliable and respectful. These are important in any kind of working environment.

In conclusion, therefore, there is not the evidence to support employing young people as opposed to those over 50. It would seem that a mix of the best qualities of old and young is preferential in order to ensure the most productive environment evolves.

","This employing older people essay would achieve a high band score.

It fully answers the task by discussing issues around the young and old working and making some comparisons. A clear opinion is also given - the writer believes a mix of young and old is best.

The essay is well-organized and coherent. Each paragraph has a clear topic and linking words between and within paragraphs are used appropriately.

There are examples of less common lexical (vocabulary items) and the writer clearly knows how to collocate.

There are a mix of simple, compound and complex sentences. 

",8.5
Every one of us should become a vegetarian because eating meat can cause serious health problems. To what extent do you agree or disagree?,"Vegetarianism is becoming more and more popular for many people, particularly because of the harm that some people believe meat can cause to the body. However, I strongly believe that it is not necessary for everybody to be a vegetarian.

Vegetarians believe that meat is unhealthy because of the diseases it has been connected with. There has been much research to suggest that red meat is particularly bad, for example, and that consumption should be limited to eating it just a few times a week to avoid such things as cancer. Meats can also be high in saturated fats so they have been linked to health problems such as cardiovascular disease and diabetes. 

However, there are strong arguments for eating meat. The first reason is that as humans we are designed to eat meat, which suggests it is not unhealthy, and we have been eating meat for thousands of years. For example, cavemen made hunting implements so that they could kill animals and eat their meat. Secondly, meat is a rich source of protein which helps to build muscles and bones. Vegetarians often have to take supplements to get all the essential vitamins and minerals. Finally, it may be the case that too much meat is harmful, but we can easily limit the amount we have without having to cut it out of our diet completely. 

To sum up, I do not agree that everyone should turn to a vegetarian diet. Although the overconsumption of meat could possibly be unhealthy, a balanced diet of meat and vegetables should result in a healthy body. 

","You should begin by intoducing the topic. The introduction in this vegetarianism essay begins by mentioning vegetarians and the possible harm of eating meat. 

It then goes on to the thesis statement, which makes it clear what the candidate's opinion is.

The first body paragraph has a topic sentence which makes it clear that the paragraph is going to address the possible health issues of eating meat.

Some reasons and examples are then given to support this.

The second body paragraph then has a topic sentence which makes it clear that the main idea is now about the arguments for eating meat. 

The conclusion in this vegetarianism essay then repeats the opinion and gives the candidates final thoughts. 

",7.5
"Some people believe that they should be able to keep all the money they earn, and should not have to pay tax to the state. To what extent do you agree or disagree?","People work hard and earn money which ideally they would like to retain for themselves. However, a significant portion of this usually has to be given to the state. In my view, it is right that people pay their fair share of taxes. 

Money is everything in today's world. This is because money is used to buy all the necessities such as food, water, and shelter. Money is also used to help a family's children in the form of school fees and other activities. In addition to this, people do not only need money to cater for their necessities, but also for future investments. The more that people have to invest, the more they believe they can accumulate in the long term. As a result, many are reluctant to lose some of their income through the deduction of tax. 

Nevertheless, citizens should be obliged to pay taxes to the government for a number of reasons. They should accept that the taxes they pay help the government offer them the public services all over the country. These public services are things such as the construction of roads, bridges, public hospitals, parks and other public services. The same tax money helps the country's economy to be stable. Through taxes, the government can also pay off its debts. In short, money received through taxes is a way of ensuring that people have comfortable livelihoods.

In conclusion, even though many people think that they should not pay taxes, that money is useful to the stability of any country. Therefore, people should not avoid paying taxes as it may affect the country's economy and services that it provides. 

","Task Response

Coherence and
Cohesion

Lexical
Resource

There is some
good use of vocabulary and collocations and spelling and word forms are
correct.


Grammatical Range and Accuracy
There is good accuracy in the grammar and a good range of sentence structures.",8.0
The best way to understand other cultures is to work for a multinational organisation. To what extent do you agree or disagree?,"Multinational organisations can be found in most major cities around the world these days. Although working for such a company provides the opportunity to mix with people from a variety of cultural backgrounds, I would argue that this is not necessarily the best way to learn about other cultures.  

There is no doubt that for some people, working for a multinational organisation will enhance their understanding of other cultures. The first reason is that in a multinational organisation one can learn about the customs and traditions of other countries through mixing with people from different backgrounds who work in the company or in liaising with colleagues abroad. Exposure to other languages is also likely, something that gives a much greater depth of understanding of a culture. There may also be the chance to relocate to work in another country, which would mean complete immersion in that culture.

However, there are a number of reasons that it is not necessarily the best way. Firstly, there is no guarantee that you will be a person who gets such exposure to other cultures as it depends on your position within the company. Not all employees have roles where they regularly mix with other cultures. Also, there are also other excellent ways to achieve such a goal. For example, many people these days travel the world, and this is an opportunity to meet and spend time with people from other countries. It is also possible to do voluntary work with organisations and charities that work in other countries, something that would mean you meet a mix of people rather than just those who work in companies. 

In conclusion, despite the potential ways in which working for a multinational company can result in contact with people from other cultures, I believe that it cannot be assumed it is the best way as there are other options to do this.  

","This multinational company and culture essay would get a good score for the following reasons.

The question is fully addressed and the essay is clearly organised. Each body paragraph has a clear central idea. 

There are examples of high level vocabulary and grammar too. 

",7.0
"Although more and more people read news on the internet, newspapers will remain the most important source of news.To what extent do you agree or disagree?","It is common at the present time to see people getting updates on the latest news from the internet rather than the traditional method of reading a newspaper. I would argue that electronic sources of news will gradually replace that of the newspaper. 

Newspapers remain an important source of news for several reasons.  The first of these is that the older generation still prefer to read their news this way, which is because they have traditionally bought a newspaper over the years and so do not wish to change or simply do not know how to do so online in some cases. In addition to this a newspaper also comes with other supplements, such as magazines and television guides, and sources of entertainment, such as crosswords. This makes it more attractive for some than going online.  

However, though newspapers may not disappear completely, the Internet is likely to become the more dominant source of news over time. This is primarily because younger people tend to read the news online and prefer not to pay for it, so those reading newspapers, the older generations, will gradually decline. This links in with the second reason, which is that as media companies start to see a drop income from newspapers, printing them will become unprofitable and they will be forced to find ways to make money from news online. 

In conclusion, although newspapers remain popular today, they will gradually be replaced by the desire to read the news through electronic sources. This may be a sad loss given their history, but unfortunately it is an unavoidable development. 

","This internet vs newspaper essay would score highly in the test as it meets the four criteria required for a good IELTS band score. 

It fully answers the question. The writer clearly sets out their opinion and then goes on to provide support for this.

The essay supports the opinion well as it sets out why people like to read newspapers but then goes on to explain why this will change, with people switching to online reading. The support of the question is specific and ideas are extended and explained. 

The essay is also well-organised, with a clear introduction, body paragraphs and conclusion. 

Topic sentences lead the reader through the essay and there are good linking devices that are not too mechanical. You don't want things too mechanical if you are looking for a score above band 6. 

Examples of mechanical are 'firstly', 'secondly', 'thirdly' 'for example'. They can be a bit boring and easy. 

It also has some good examples of vocabulary and collocations related to the topic, and a good range of complex sentences.

",8.5
Earlier technological developments brought more benefits and changed the lives of ordinary people more than recent developments ever will.To what extent do you agree or disagree?,"Developments in technology over many years have dramatically changed the world that we live in, and some people think that earlier advances in technology have had a greater impact on and been more beneficial to the lives of ordinary people than more recent changes. However, I partially agree with this as the advantages and influences on people's lives actually depends on the particular area of technology.

There is no doubt that some earlier advances in technology have been very influential, such as those related to technology around the home. Devices such as washing machines, fridges and freezers, central heating, microwaves and televisions were invented many years ago, and now nearly every household has all or some of these in their home, making life much easier. Though they have been improved over time, they still carry out much the same purpose as when they were first invented. 

Another example is that of medicine. Despite the fact that there have been ground-breaking recent medical developments, such as that connected to research into genes and stem cells, the benefits to the average person are still many years away. The most influential impacts on health have been earlier technological developments of the past, which remain today. These are the ability to treat so many injuries and diseases and carry out organ transplants in hospitals. It is these that have benefits on so many lives and will for decades to come. 

However, if we look at some more recent developments, they have had a much greater influence than in the past. For instance, there is the phone, which was a significant development when invented helping many people. However, although invented many years ago, technological developments over the last few decades have enabled the phone to now be mobile and connected to the internet. This has had incredible impacts on the way people Iive their lives with people using phones for so many everyday activities and for connecting around the world.

In conclusion, I would argue that although some older technological developments are important, some new ones are too. The impacts on ordinary people's lives therefore depends on the type of technology in question. 

","This technology development essay would get a high score as it fully answers the question and fully extends and supports the ideas presented. 

Even though the essay does not specifically choose one side as presented in the technology development essay prompt, it presents a very clear opinion / position directly related to the question, and then supports this in the essay. 

Also, earlier and more recent developments are compared and discussed. 

You may have noted the length is 356 words. Some higher level candidates can reach this length in the test, but if you have more difficultly with your writing you should of course seek to aim for around 275 words (the minimum is 250 words).

You can still get a high score with 275 words, providing of course it is scores highly for the four marking criteria in the grading system (Task Response; Coherence and Cohesion; Lexical Resource; Grammatical Range and Accuracy). 

",9.0
"Languages are dying out all the time. The result of this is a world with fewer languages. This is a good thing for people everywhere.To
what extent do you agree or disagree?","There are thousands  of languages in the world today. Some of them are strong languages spoken by many millions of people, while others are spoken by smaller groups of people, sometimes numbering in the hundreds. As languages die, benefits accrue to human society, but also drawbacks. It is certainly not advantageous for everybody everywhere.

From a practical point of view, having fewer languages can lead to greater ease in communication. This is because when people share a language, then information and ideas can flow more easily, which is of utmost importance in a globalised world. In addition, there is an economic advantage, or economies of scale, since information can be presented in written form in greater bulk, meaning there is no need for translations, which can be costly. Thus, internationally, the flow of ideas and information is facilitated through the common language.

There is another side, though. First of all, those who have lost a language have also lost a culture, a way of expressing themselves, and a way of understanding the world and their experience of the world. They will never be able to express themselves fully in their new language. Secondly, the quality of communication in the common language is limited. The reason for this is that people are writing and reading in an acquired language, not the mother tongue. Also, this acquired language may simply be unable to express some of the culturally-bound ideas of the non-native speaker.

In brief, then, language death is a tragedy. Those whose language dies lose part of their identity, and a way to give expression to their deep thoughts and feelings. For the rest of the world, there is a loss of diversity. Along with the language, a whole culture and way of expressing this culture die. Things of deep human value that could be expressed before are now silenced.

","The dying languages essay would get a high band score as it fully answers the question, discussing both sides of the issue (though you can discuss one side).

It's well organised into paragraphs, and the arguments are logical and easy to follow.

There are good examples of high level vocabulary and grammar and there are no errors. 

",8.0
